OWNER,VESSEL,Charterer,Size,Grade,Load,Disch.,Date,$,Rate,Comment,Status,Month,YEAR,LR1/LR2,Load Region,Disc Region,Decade
ARGYLL,ARGYLL TBN,ENOC,"60,000",JET,ruwais,jebel ali,1-Jan-2017,RNR,RNR,,FXD,1,2017,#REF!,AG,AG,1
GEM,GULF CRYSTAL,RELIANCE,"60,000",UMS,sikka,singapore,1-Jan-2017,WS,95.0,BSS SINGAPORE,FXD,1,2017,#REF!,WCI,SEA,1
NAVIG8,HERMIONE,CNR,"55,000",CPP,ras laffan,daesan,1-Jan-2017,RNR,RNR,,FXD,1,2017,#REF!,AG,NASIA,1
PRIME,SPOTTAIL,TRAFIGURA,"65,000",JET,sikka,pengerang,1-Jan-2017,WS,95.0,BSS SPORE - POSS ANOTHER CHRTR,FXD,1,2017,#REF!,WCI,SEA,1
SCORPIO,STI MADISON,ATC,"80,000",ULSD,jubail,ras tanura,1-Jan-2017,$,210000.0,,FXD,1,2017,#REF!,AG,AG,1
KPC,WAFRAH,KPC?,"90,000",JET,mina al ahmadi,le havre,1-Jan-2017,OP,OP,,FXD,1,2017,#REF!,AG,UKC,1
PRIME,WALLEYE,TRAFIGURA,"60,000",UMS,vadinar,singapore,1-Jan-2017,WS,95.0,"BSS SPORE, SWAPPED IN FOR SPOTTAIL",FXD,1,2017,#REF!,WCI,SEA,1
ADNATCO,DIYYINAH-I,LOTTE TITAN,"55,000",NAP,ruwais,pasir gudang,1-Jan-2017,RNR,RNR,,FXD,1,2017,#REF!,AG,SEA,1
NAVIG8,HERMIONE,CNR,"55,000",NAP,ras laffan,singapore,1-Jan-2017,RNR,RNR,,FXD,1,2017,#REF!,AG,SEA,1
MOSK,PHOENIX DREAM,CNR,"75,000",NAP,ras laffan,tokuyama,1-Jan-2017,RNR,RNR,,FXD,1,2017,#REF!,AG,NASIA,1
SK ENERGY,PRO ALLIANCE,CNR,"75,000",NAP,ruwais,kaohsiung,1-Jan-2017,RNR,RNR,,FXD,1,2017,#REF!,WCI,TAIWAN,1
SK ENERGY,PRO TRIUMPH,CNR,"75,000",NAP,mina al ahmadi,yosu+ulsan,1-Jan-2017,RNR,RNR,,FXD,1,2017,#REF!,AG,NASIA,1
ST SHIPPING,VAN PHONG 1,VITOL,"75,000",NAP,ruwais,map ta phut,1-Jan-2017,RNR,RNR,,FXD,1,2017,#REF!,AG,SEA,1
HEIDMAR,YANG LI HU,CNR,"75,000",NAP,sitra,yokkaichi,1-Jan-2017,RNR,RNR,,FXD,1,2017,#REF!,AG,NASIA,1
PRIME,FLAGSHIP PRIVET,ATC,"60,000",CPP,jebel ali,mombasa,2-Jan-2017,WS,125.0,,FXD,1,2017,#REF!,AG,EAFR,1
ST SHIPPING,FRONT TIGER,ST SHIPPING,"90,000",GO,singapore,singpore,2-Jan-2017,TCT,17250.0,"6-8 MONTHS, NEEDS CHECKING",FXD,1,2017,#REF!,SEA,SEA,1
NAVIG8,NAVIG8 EXCEL,SAHARA,"60,000",GO,huangdao,singapore,2-Jan-2017,RNR,RNR,BSS SPORE,FXD,1,2017,#REF!,SCHINA,SEA,1
NAVIG8,NAVIG8 EXPRESS,BP,"60,000",GO,sikka,singapore,2-Jan-2017,WS,122.5,"BSS SPORE, $1.375 BSS WAFR",FXD,1,2017,#REF!,WCI,SEA,1
ST SHIPPING,TAO LIN WAN,CNR,"60,000",GO,kaohsiung,singapore,2-Jan-2017,RNR,RNR,,FXD,1,2017,#REF!,TAWAIN,SEA,1
